Numer,Name,Value,Unit,Description
1,nstages,50,[-],Number of stages
2,C0solid,141.8181818,kg/m3,Inital concentration in the solid phase
3,r,1.98E-02,m,Extractor radius
4,epsi,0.77,[-],Void fraction
5,dp,3.00E-04,m,Particle diameter
6,L,0.165,m,Extractor length
7,rho_s,1364,kg/m3,Density of solid particles
8,km,1,[-],Mass partition coefficient
9,mi,0.5,[-],Particle shape coefficient
10,Tc,304.1,K,Critical temperature
11,Pc,73.8,bar,Critical pressure
12,R,0.0000831,[m3-bar/K-mol],Gas constant
13,kappa,0.225,[-],Acentric factor
14,MW,0.044,Kg/mol,Molar mass
15,EA_Di,0.738266579,[-],
16,betah_Di,51.24432282,[-],
17,CP_0,NAN,,Ideal gas CP for CO2
18,CP_A,22.26,,
19,CP_B,5.98E-02,,
20,CP_C,-3.50E-05,,
21,CP_D,7.47E-09,,
22,EA_km,-1.078261986,,
23,betah_km,3.63E-19,,
24,cpSolid,1.5,kJ/K/Kg,
25,a_axial,0.1,,
26,b_axial,0.011,,
27,c_axial,0.48,,
28,A1_cond,-105.161,,
29,A2_cond,0.9007,,
30,A3_cond,0.0007,,
31,A4_cond,3.50E-15,,
32,A5_cond,3.76E-10,,
33,A6_cond,0.75,,
34,A7_cond,0.0017,,
35,A1_visc,-0.1146067,,
36,A2_visc,0.000000698,,
37,A3_visc,3.98E-10,,
38,A4_visc,0.0633612,,
39,A5_visc,-0.01166119,,
40,A6_visc,0.00071426,,
41,A7_visc,0.00000652,,
42,A8_visc,-0.3567559,,
43,A9_visc,0.03180473,,
44,k_w_0,1.222524,Power model,
45,a_w,4.308414,Power model,
46,b_w,0.972739,Power model,
47,n,3.428618,Power model,
48,a_d,0.19,Linear model,Diff
49,b_d,-8.188,Linear model,Diff
50,c_d,0.62,Linear model,Diff
51,a_g,3.158,Linear model,Gamma
52,b_g,11.922,Linear model,Gamma
53,c_g,-0.6868,Linear model,Gamma
54,,1,,
55,,1,,
56,,1,,
57,,1,,
58,,1,,
59,,1,,
60,,1,,
61,,1,,
62,,1,,
63,,1,,
64,,1,,
65,,1,,
66,,1,,
67,,1,,
68,,1,,
69,,1,,
70,,1,,
71,,1,,
72,,1,,
73,,1,,
74,,1,,
75,,1,,
76,,1,,
77,,1,,
78,,1,,
79,,1,,
80,,1,,
81,,1,,
82,,1,,
83,,1,,
84,,1,,
85,,1,,
86,,1,,
87,,1,,
88,,1,,
89,,1,,
90,,1,,
91,,1,,
92,,1,,
93,,1,,
94,,1,,
95,,1,,
96,,1,,
97,,1,,
98,,1,,
99,,1,,
100,,1,,
101,,1,,
102,,1,,
103,,1,,
104,,1,,
105,,1,,
106,,1,,
107,,1,,
108,,1,,
109,,1,,
110,,1,,
111,,1,,
112,,1,,
113,,1,,
114,,1,,
115,,1,,
116,,1,,
117,,1,,
118,,1,,
119,,1,,
120,,1,,
121,,1,,
122,,1,,
123,,1,,
124,,1,,
125,,1,,
126,,1,,
127,,1,,
128,,1,,
129,,1,,
130,,1,,
131,,1,,
132,,1,,
133,,1,,
134,,1,,
135,,1,,
136,,1,,
137,,1,,
138,,1,,
139,,1,,
140,,1,,
141,,1,,
142,,1,,
143,,1,,
144,,1,,
145,,1,,
146,,1,,
147,,1,,
148,,1,,
149,,1,,
150,,1,,
151,,1,,
